empty_slots,free_bikes,id,latitude,longitude,name,timestamp,extra.ebikes,extra.has_ebikes,extra.last_updated,extra.payment,extra.payment-terminal,extra.renting,extra.returning,extra.slots,extra.uid
10,0,72bfd647b3d2b650546f42319729757d,45.617499783128075,-73.60601127147675,Cégep Marie-Victorin,2023-07-28T20:56:21.092000Z,0,True,1690577762,"['creditcard', 'key']",True,1,1,11,693
2,8,36c6491aa1b52e5ef7005f984738de27,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),2023-07-28T20:56:20.849000Z,1,True,1690577758,"['creditcard', 'key']",True,1,1,15,740
14,3,8db822a266b5ccb3a1e323ddc8721d62,45.506175841460966,-73.71118605136871,Ateliers municipaux de St-Laurent (Cavendish / Poirier),2023-07-28T20:56:21.249000Z,1,True,1690577643,"['creditcard', 'key']",True,1,1,18,760
17,8,660275cd7d4368cc7590f1606c633bd6,45.5129938566323,-73.68249848484993,Place Rodolphe-Rousseau (Gohier / Édouard-Laurin),2023-07-28T20:56:20.743000Z,1,True,1690577476,"['creditcard', 'key']",True,1,1,25,717
6,7,fddada5adc997290212b3f540c017274,45.51473429416659,-73.69144901633263,Centre des loisirs (Tassé / Grenet),2023-07-28T20:56:21.248000Z,2,True,1690577747,"['creditcard', 'key']",True,1,1,15,762
11,4,83d02cd8a043b8305a4031063005d32e,45.52234149817879,-73.72167885303497,Parc Marlborough (Beauzèle / Robichaud),2023-07-28T20:56:20.744000Z,0,True,1690577718,"['creditcard', 'key']",True,1,1,15,716
11,4,888e6052f1aebab8d8a527776b3499b6,45.566869345371856,-73.64101678133011,Champdoré / de Lorimier,2023-07-28T20:56:20.745000Z,0,True,1690577535,"['creditcard', 'key']",True,1,1,15,713
17,2,f3e8bbaffc3930bc19681467b42595cf,45.44791581215845,-73.58381867408752,Beurling / Godin,2023-07-28T20:56:20.747000Z,1,True,1690577741,"['creditcard', 'key']",True,1,1,19,710
20,6,1ffa6ec805ef0a7803b86fa6bef5c1af,45.51293324107222,-73.63389015197754,Kirkfield / de Chambois,2023-07-28T20:56:20.780000Z,2,True,1690576662,"['creditcard', 'key']",True,1,1,27,520
8,13,65fcf6251f8e1caef9d4ec19d3c37f64,45.42947143740888,-73.59309915918857,Parc des Rapides (LaSalle / 6e avenue),2023-07-28T20:56:20.783000Z,1,True,1690575471,"['creditcard', 'key']",True,1,1,23,528
24,9,17a401a4d9de7e987b12cbc5686cadc2,45.52331869398737,-73.52012693881989,Métro Longueuil - Université de Sherbrooke,2023-07-28T20:56:20.785000Z,3,True,1690577194,"['creditcard', 'key']",True,1,1,35,448
1,14,6832a18f263cc93c01c71013a19baa8f,45.53368199320325,-73.51526074111462,St-Charles / Montarville,2023-07-28T20:56:20.786000Z,2,True,1690534768,"['creditcard', 'key']",True,1,1,15,443
12,4,04840a5047543df6a5ff4f78ccc64a04,45.53722603812578,-73.49506705999374,Collège Édouard-Montpetit (de Gentilly / de Normandie),2023-07-28T20:56:20.789000Z,0,True,1690576500,"['creditcard', 'key']",True,1,1,18,447
6,6,2a20aa1c87cc30a2968fe04fe4e5b0df,45.52841043752244,-73.51716578006744,Place Longueuil,2023-07-28T20:56:20.791000Z,3,True,1690577737,"['creditcard', 'key']",True,1,1,15,444
31,2,734e36f9bfc759c9c5b1b9b44a85966e,45.46714,-73.54259,Place du Commerce,2023-07-28T20:56:20.819000Z,0,True,1690577567,"['creditcard', 'key']",True,1,1,33,431
1,21,65f5707d61306518123222b4680bc282,45.55321884238814,-73.53978216648102,Marché Maisonneuve,2023-07-28T20:56:20.825000Z,0,True,1690577744,"['creditcard', 'key']",True,1,1,22,330
19,4,a7671fb398de9ac6bd6bc552b5323b7a,45.5057209331225,-73.62945914268494,Parc Kent (de Kent / Hudson),2023-07-28T20:56:20.864000Z,4,True,1690577667,"['creditcard', 'key']",True,1,1,27,236
24,2,0e58810dea9e4869279089cb8576642f,45.52689,-73.57264,Rachel / de Brébeuf,2023-07-28T20:56:20.871000Z,0,True,1690577653,"['creditcard', 'key']",True,1,1,29,144
12,3,5f87ab3bfe9c4289033da69a74957d0e,45.65140583915357,-73.50041270256041,Aréna Rodrigue-Gilbert (du Tricentenaire / de Montigny),2023-07-28T20:56:20.877000Z,0,True,1690569289,"['creditcard', 'key']",True,1,1,15,613
10,9,23f1b244e618444f565f402a81c585d6,45.6062348,-73.6287838,Parc St-Laurent (Salk / Thomas-Chapais),2023-07-28T20:56:20.882000Z,3,True,1690577604,"['creditcard', 'key']",True,1,1,19,768
13,2,3cc8af25d891cb13e3301e4a612d0383,45.50714391928411,-73.55511903762817,Notre-Dame / St-Gabriel,2023-07-28T20:56:20.904000Z,2,True,1690577678,"['creditcard', 'key']",True,1,1,15,24
18,15,517c47dab7563036263420e5eb1526a6,45.5063732,-73.52457672,Casino de Montréal,2023-07-28T20:56:20.911000Z,3,True,1690577715,"['creditcard', 'key']",True,1,1,34,407
