categories,distance,name,geocodes.main.latitude,geocodes.main.longitude,geocodes.roof.latitude,geocodes.roof.longitude,location.address,location.country,location.cross_street,location.formatted_address,location.locality,location.postcode,location.region,rating,station_lat,station_long,station_name,geocodes.drop_off.latitude,geocodes.drop_off.longitude,location.address_extended,geocodes.front_door.latitude,geocodes.front_door.longitude
"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",240.0,Resto Capucine,45.619509,-73.609503,45.619509,-73.609503,7000 Maurice du Plessis Blvd,CA,Coin Albert-Hudon,"7000 Maurice du Plessis Blvd (Coin Albert-Hudon), Montréal QC H1G 0A1",Montréal,H1G 0A1,QC,,45.61749978312808,-73.60601127147675,Cégep Marie-Victorin,,,,,
"[{'id': 13002, 'name': 'Bakery', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/bakery_', 'suffix': '.png'}}, {'id': 13047, 'name': 'Pastry Shop', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/dessert_', 'suffix': '.png'}}]",587.0,Biscuits Heavenly Taste Biscotti,45.622126,-73.601188,45.622126,-73.601188,11737 4e Ave,CA,,"11737 4e Ave, Montréal QC H1E 3C2",Montréal,H1E 3C2,QC,,45.61749978312808,-73.60601127147675,Cégep Marie-Victorin,,,,,
"[{'id': 13236, 'name': 'Italian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/italian_', 'suffix': '.png'}}]",941.0,Restaurant Prima Luna,45.617439,-73.593995,45.617439,-73.593995,7301 Henri-Bourassa Blvd E,CA,,"7301 Henri-Bourassa Blvd E, Montréal QC H1E 2Z6",Montréal,H1E 2Z6,QC,7.4,45.61749978312808,-73.60601127147675,Cégep Marie-Victorin,,,,,
"[{'id': 13352, 'name': 'Thai Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/thai_', 'suffix': '.png'}}]",696.0,Restaurant Phoenix Oriental,45.6233,-73.602149,45.6233,-73.602149,7230 Maurice-Duplessis Blvd,CA,Maurice Duplessis,"7230 Maurice-Duplessis Blvd (Maurice Duplessis), Montreal QC H1E 4A7",Rivière-des-Prairies-Pointe-aux-Trembles,H1E 4A7,QC,,45.61749978312808,-73.60601127147675,Cégep Marie-Victorin,,,,,
"[{'id': 13065, 'name': 'Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}]",773.0,Restaurant Shekz,45.623543,-73.60138,45.623543,-73.60138,7272 Maurice-Duplessis Blvd,CA,,"7272 Maurice-Duplessis Blvd, Montreal QC H1E 6Z7",Montreal,H1E 6Z7,QC,,45.61749978312808,-73.60601127147675,Cégep Marie-Victorin,,,,,
"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",964.0,Pizzeria Etc,45.617734,-73.593471,45.617734,-73.593471,7303 Henri-Bourassa Blvd E,CA,Louis-H-Lafontaine,"7303 Henri-Bourassa Blvd E (Louis-H-Lafontaine), Montréal QC H1E 2Z6",Montréal,H1E 2Z6,QC,,45.61749978312808,-73.60601127147675,Cégep Marie-Victorin,,,,,
"[{'id': 13031, 'name': 'Burger Joint', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burger_', 'suffix': '.png'}}, {'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13326, 'name': 'Poutine Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}]",157.0,Frite Alors,45.515385,-73.564524,45.515385,-73.564524,1710 Saint-Denis Rue,CA,entre Ontario et Emery,"1710 Saint-Denis Rue (entre Ontario et Emery), Montréal QC H2X 3K6",Montréal,H2X 3K6,QC,7.7,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),,,,,
"[{'id': 13064, 'name': 'Pizzeria', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/pizza_', 'suffix': '.png'}}]",208.0,Pizzeria Dei Compari,45.515115,-73.563789,45.515115,-73.563789,1668 Saint-Denis Rue,CA,coin de Maisonneuve,"1668 Saint-Denis Rue (coin de Maisonneuve), Montréal QC H2X 3K6",Montréal,H2X 3K6,QC,8.3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),,,,,
"[{'id': 13145, 'name': 'Fast Food Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/fastfood_', 'suffix': '.png'}}, {'id': 13305, 'name': 'Burrito Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/burrito_', 'suffix': '.png'}}]",129.0,M4 Burritos,45.515944,-73.564929,45.515944,-73.564929,1773 Saint-Denis Rue,CA,coin Ontario,"1773 Saint-Denis Rue (coin Ontario), Montréal QC H2X 3K4",Montréal,H2X 3K4,QC,7.3,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),45.515794,-73.564998,,,
"[{'id': 13389, 'name': 'Irish Pub', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/nightlife/pub_', 'suffix': '.png'}}]",158.0,Patrick'S Pub Irlandais,45.515508,-73.564043,45.515508,-73.564043,1707 Saint-Denis Rue,CA,entre Ontario & De Maisonneuve,"1707 Saint-Denis Rue (entre Ontario & De Maisonneuve), Montréal QC H2X 3K4",Montréal,H2X 3K4,QC,7.4,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),45.515385,-73.564099,,,
"[{'id': 13276, 'name': 'Sushi Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/sushi_', 'suffix': '.png'}}]",134.0,Taiyo Sushi,45.516541,-73.566353,45.516541,-73.566353,2073 Saint-Denis Rue,CA,,"2073 Saint-Denis Rue, Montréal QC H2X 3K8",Montréal,H2X 3K8,QC,7.0,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),,,,,
"[{'id': 13309, 'name': 'Middle Eastern Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/middleeastern_', 'suffix': '.png'}}]",229.0,Omnivore,45.515133,-73.562917,45.515133,-73.562917,1633 Saint-Denis Rue,CA,,"1633 Saint-Denis Rue, Montréal QC H2X 3K3",Montréal,H2X 3K3,QC,7.7,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),45.514896,-73.563026,,,
"[{'id': 13030, 'name': 'Buffet', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/default_', 'suffix': '.png'}}, {'id': 13377, 'name': 'Vegan and Vegetarian Restaurant', 'icon': {'prefix': 'https://ss3.4sqi.net/img/categories_v2/food/vegetarian_', 'suffix': '.png'}}]",146.0,Resto Végo,45.515496,-73.564624,45.515496,-73.564624,1720 Saint-Denis Rue,CA,,"1720 Saint-Denis Rue, Montréal QC H2X 3K6",Montréal,H2X 3K6,QC,6.9,45.516926210319546,-73.56425732374191,Gare d'autocars de Montréal (Berri / Ontario),,,,,
